account_number,acct_name,cusip,asset_name,shares,market_value,
337049270,Vanguard Value,922908744,VANGUARD VALUE ETF,5700,596733,
337049278,Vanguard Extended Mkt ETF,922908652,VANGUARD EXTENDED MARKET ETF,1534,167636,
337049286,Vanguard All-World ex-US,922042775,VANGUARD FTSE ALL WORLD EX US ETF,5112,277070,
337106469,Sage Int Bond,002824AZ3,ABBOTT LABORATORIES,27000,26704,
337106469,Sage Int Bond,00287YAL3,ABBVIE INC,28000,27565,
337106469,Sage Int Bond,00507UAP6,ACTAVIS FUNDING SCS,26000,26086,
337106469,Sage Int Bond,00912XAV6,AIR LEASE CORP,27000,25959,
337106469,Sage Int Bond,025816BG3,AMERICAN EXPRESS CO,27000,26959,
337106469,Sage Int Bond,035242AL0,ANHEUSER-BUSCH INBEV FINANCE INC,26000,26059,
337106469,Sage Int Bond,037833CS7,APPLE INC,27000,26655,
337106469,Sage Int Bond,00206REM0,AT&T INC,27000,26741,
337106469,Sage Int Bond,00206REJ7,AT&T INC,28000,28263,
337106469,Sage Int Bond,05522RCQ9,BACCT 141 A,54000,54156,
337106469,Sage Int Bond,06051GFU8,BANK OF AMERICA CORP,26000,26735,
337106469,Sage Int Bond,05565QCG1,BP CAPITAL MARKETS PLC,26000,26018,
337106469,Sage Int Bond,14040HAY1,CAPITAL ONE FINANCIAL CORP,27000,28472,
337106469,Sage Int Bond,172967LP4,CITIGROUP INC,27000,26472,
337106469,Sage Int Bond,14041NFH9,COMET 166 A,38000,37651,
337106469,Sage Int Bond,126650CJ7,CVS HEALTH CORP,26000,25970,
337106469,Sage Int Bond,260543BX0,DOW CHEMICAL CO,21000,22541,
337106469,Sage Int Bond,279158AC3,ECOPETROL SA,24000,25800,
337106469,Sage Int Bond,31283HRL1,FH G01391,433,496,
337106469,Sage Int Bond,3128MJ2H2,FH G08775,51986,53390,
337106469,Sage Int Bond,31384VRE4,FN 535185,84,96,
337106469,Sage Int Bond,31385WUD9,FN 555080,555,625,
337106469,Sage Int Bond,31387DJF7,FN 580862,561,626,
337106469,Sage Int Bond,31390K3A4,FN 648893,776,873,
